g++ -std=c++17 -Wall -Wextra -g -O3 -Iinclude -c src/main.cpp  -o src/main.o
g++ -std=c++17 -Wall -Wextra -g -O3 -Iinclude -c src/param.cpp  -o src/param.o
g++ -std=c++17 -Wall -Wextra -g -O3 -Iinclude -c src/wfc.cpp  -o src/wfc.o
g++ -std=c++17 -Wall -Wextra -g -O3 -Iinclude -o output/main src/main.o src/param.o src/wfc.o -lfftw3 -lm -Llib
Executing all complete!

-dims 1 -res 16 -iter 10 -timesteps 1000 -verbose 
-dims 1 -res 256 -iter 10 -timesteps 1000 -verbose 
0	651900	7473400
1	113600	7196700
2	120800	6971500
3	105800	7134700
4	182900	7011200
5	122100	7102400
6	114900	7368900
7	131300	7505300
8	120500	7459000
9	122400	7427600
